Store,Date,IsHoliday,Temperature,gas_price,discount_promotional,discount_clearance,discount_damaged_good,discount_competitive,CPI,Unemployment
2,05/02/10,FALSE,40.19,2.572,NA,NA,NA,NA,210.7526053,7.057
2,12/02/10,TRUE,38.49,2.548,NA,NA,NA,NA,210.8979935,7.057
2,19/02/10,FALSE,39.69,2.514,NA,NA,NA,NA,210.9451605,7.057
2,26/02/10,FALSE,46.1,2.561,NA,NA,NA,NA,210.9759573,7.057
2,05/03/10,FALSE,47.17,2.625,NA,NA,NA,NA,211.0067542,6.891
2,12/03/10,FALSE,57.56,2.667,NA,NA,NA,NA,211.037551,6.891
2,19/03/10,FALSE,54.52,2.72,NA,NA,NA,NA,210.8733316,6.891
2,26/03/10,FALSE,51.26,2.732,NA,NA,NA,NA,210.6766095,6.891
2,02/04/10,FALSE,63.27,2.719,NA,NA,NA,NA,210.4798874,6.891
2,09/04/10,FALSE,65.41,2.77,NA,NA,NA,NA,210.2831653,6.891
2,16/04/10,FALSE,68.07,2.808,NA,NA,NA,NA,210.1495463,6.891
2,23/04/10,FALSE,65.11,2.795,NA,NA,NA,NA,210.1000648,6.891
2,30/04/10,FALSE,66.98,2.78,NA,NA,NA,NA,210.0505833,6.891
2,07/05/10,FALSE,71.28,2.835,NA,NA,NA,NA,210.0011018,6.891
2,14/05/10,FALSE,73.31,2.854,NA,NA,NA,NA,209.9984585,6.891
2,21/05/10,FALSE,74.83,2.826,NA,NA,NA,NA,210.2768443,6.891
2,28/05/10,FALSE,81.13,2.759,NA,NA,NA,NA,210.5552301,6.891
2,04/06/10,FALSE,81.81,2.705,NA,NA,NA,NA,210.833616,6.565
2,11/06/10,FALSE,83.4,2.668,NA,NA,NA,NA,211.1120018,6.565
2,18/06/10,FALSE,85.81,2.637,NA,NA,NA,NA,211.1096543,6.565
2,25/06/10,FALSE,86.26,2.653,NA,NA,NA,NA,210.9950134,6.565
2,02/07/10,FALSE,82.74,2.669,NA,NA,NA,NA,210.8803726,6.565
2,09/07/10,FALSE,82.59,2.642,NA,NA,NA,NA,210.7657317,6.565
2,16/07/10,FALSE,85.32,2.623,NA,NA,NA,NA,210.7577954,6.565
2,23/07/10,FALSE,87.66,2.608,NA,NA,NA,NA,210.8921319,6.565
2,30/07/10,FALSE,83.49,2.64,NA,NA,NA,NA,211.0264684,6.565
2,06/08/10,FALSE,89.53,2.627,NA,NA,NA,NA,211.1608049,6.565
2,13/08/10,FALSE,89.05,2.692,NA,NA,NA,NA,211.2951413,6.565
2,20/08/10,FALSE,88.7,2.664,NA,NA,NA,NA,211.2596586,6.565
2,27/08/10,FALSE,87.12,2.619,NA,NA,NA,NA,211.2241759,6.565
2,03/09/10,FALSE,81.83,2.577,NA,NA,NA,NA,211.1886931,6.17
2,10/09/10,TRUE,79.09,2.565,NA,NA,NA,NA,211.1532104,6.17
2,17/09/10,FALSE,82.05,2.582,NA,NA,NA,NA,211.1806415,6.17
2,24/09/10,FALSE,81.79,2.624,NA,NA,NA,NA,211.2552578,6.17
2,01/10/10,FALSE,69.24,2.603,NA,NA,NA,NA,211.3298742,6.17
2,08/10/10,FALSE,63.19,2.633,NA,NA,NA,NA,211.4044906,6.17
2,15/10/10,FALSE,65.8,2.72,NA,NA,NA,NA,211.4713286,6.17
2,22/10/10,FALSE,68.5,2.725,NA,NA,NA,NA,211.5187208,6.17
2,29/10/10,FALSE,66.24,2.716,NA,NA,NA,NA,211.5661131,6.17
2,05/11/10,FALSE,57.85,2.689,NA,NA,NA,NA,211.6135053,6.17
2,12/11/10,FALSE,59.69,2.728,NA,NA,NA,NA,211.6608975,6.17
2,19/11/10,FALSE,50.81,2.771,NA,NA,NA,NA,211.5470304,6.17
2,26/11/10,TRUE,62.98,2.735,NA,NA,NA,NA,211.4062867,6.17
2,03/12/10,FALSE,49.33,2.708,NA,NA,NA,NA,211.265543,6.237
2,10/12/10,FALSE,45.5,2.843,NA,NA,NA,NA,211.1247993,6.237
2,17/12/10,FALSE,47.55,2.869,NA,NA,NA,NA,211.0645458,6.237
2,24/12/10,FALSE,49.97,2.886,NA,NA,NA,NA,211.0646599,6.237
2,31/12/10,TRUE,47.3,2.943,NA,NA,NA,NA,211.064774,6.237
2,07/01/11,FALSE,44.69,2.976,NA,NA,NA,NA,211.0648881,6.237
2,14/01/11,FALSE,33.02,2.983,NA,NA,NA,NA,211.1176713,6.237
2,21/01/11,FALSE,41.4,3.016,NA,NA,NA,NA,211.4864691,6.237
2,28/01/11,FALSE,42.83,3.01,NA,NA,NA,NA,211.8552668,8.028
2,04/02/11,FALSE,38.25,2.989,NA,NA,NA,NA,212.2240646,8.028
2,11/02/11,TRUE,33.19,3.022,NA,NA,NA,NA,212.5928624,8.028
2,18/02/11,FALSE,57.83,3.045,NA,NA,NA,NA,212.9033115,8.028
2,25/02/11,FALSE,60.8,3.065,NA,NA,NA,NA,213.190421,8.028
2,04/03/11,FALSE,57.77,3.288,NA,NA,NA,NA,213.4775305,8.028
2,11/03/11,FALSE,52.7,3.459,NA,NA,NA,NA,213.7646401,8.028
2,18/03/11,FALSE,62.32,3.488,NA,NA,NA,NA,214.0156238,8.028
2,25/03/11,FALSE,69.42,3.473,NA,NA,NA,NA,214.2521573,8.028
2,01/04/11,FALSE,55.43,3.524,NA,NA,NA,NA,214.4886908,7.931
